#  California Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
Date,Value,Anomaly
195001,-2.06,-2.01
195002,-2.08,-2
195003,-1.94,-1.9
195004,-1.99,-1.92
195005,-1.85,-1.86
195006,-1.67,-1.76
195007,-1.4,-1.58
195008,-1.51,-1.65
195009,0.08,-0.09
195010,1.35,1.31
195011,1.8,1.83
195012,1.75,1.9
195101,1.85,1.9
195102,-0.26,-0.18
195103,-0.99,-0.95
195104,-0.96,-0.89
195105,-0.63,-0.64
195106,-0.53,-0.62
195107,-0.49,-0.67
195108,-0.32,-0.46
195109,-0.63,-0.8
195110,0.41,0.37
195111,0.64,0.67
195112,1.88,2.03
195201,3.28,3.33
195202,2.71,2.79
195203,3.34,3.38
195204,2.9,2.97
195205,2.39,2.38
195206,2.37,2.28
195207,2.66,2.48
195208,2.23,2.09
195209,1.98,1.81
195210,0.89,0.85
195211,0.71,0.74
195212,1.85,2
195301,1.96,2.01
195302,-0.96,-0.88
195303,-1.15,-1.11
195304,0.34,0.41
195305,1.14,1.13
195306,1.95,1.86
195307,3.02,2.84
195308,2.95,2.81
195309,-0.41,-0.58
195310,-0.63,-0.67
195311,-0.53,-0.5
195312,-1.43,-1.28
195401,0.5,0.55
195402,0.24,0.32
195403,0.77,0.81
195404,-0.13,-0.06
195405,-0.61,-0.62
195406,-0.56,-0.65
195407,-0.46,-0.64
195408,-0.39,-0.53
195409,-0.55,-0.72
195410,-1.09,-1.13
195411,-1.02,-0.99
195412,-0.94,-0.79
195501,-0.87,-0.82
195502,-1.32,-1.24
195503,-2.14,-2.1
195504,0.54,0.61
195505,0.54,0.53
195506,0.65,0.56
195507,0.85,0.67
195508,1.09,0.95
195509,-0.07,-0.24
195510,-0.67,-0.71
195511,0.03,0.06
195512,2.4,2.55
195601,3.44,3.49
195602,0.04,0.12
195603,-1.12,-1.08
195604,0.11,0.18
195605,0.59,0.58
195606,0.74,0.65
195607,0.86,0.68
195608,0.59,0.45
195609,0.33,0.16
195610,1.03,0.99
195611,-1.02,-0.99
195612,-2.07,-1.92
195701,-2.22,-2.17
195702,-2.26,-2.18
195703,-2.1,-2.06
195704,0.03,0.1
195705,1.39,1.38
195706,2,1.91
195707,2.16,1.98
195708,1.88,1.74
195709,2.17,2
195710,3,2.96
195711,2.48,2.51
195712,2.27,2.42
195801,2.18,2.23
195802,3.55,3.63
195803,4.45,4.49
195804,5.17,5.24
195805,4.69,4.68
195806,4.73,4.64
195807,4.7,4.52
195808,4.5,4.36
195809,4.15,3.98
195810,-0.71,-0.75
195811,-1.38,-1.35
195812,-2.42,-2.27
195901,-2.44,-2.39
195902,-1.83,-1.75
195903,-2.7,-2.66
195904,-3.18,-3.11
195905,-3.31,-3.32
195906,-3.69,-3.78
195907,-4.04,-4.22
195908,-3.91,-4.05
195909,-2.7,-2.87
195910,-3.19,-3.23
195911,-3.97,-3.94
195912,-4.44,-4.29
196001,-4.39,-4.34
196002,-3.55,-3.47
196003,-3.41,-3.37
196004,-3.2,-3.13
196005,-2.6,-2.61
196006,-2.29,-2.38
196007,-2.54,-2.72
196008,-2.75,-2.89
196009,-2.74,-2.91
196010,-2.9,-2.94
196011,-1.84,-1.81
196012,-2.12,-1.97
196101,-2.59,-2.54
196102,-2.8,-2.72
196103,-2.5,-2.46
196104,-2.63,-2.56
196105,-2.14,-2.15
196106,-1.86,-1.95
196107,-2.08,-2.26
196108,-1.65,-1.79
196109,-1.65,-1.82
196110,-1.87,-1.91
196111,-1.51,-1.48
196112,-1.77,-1.62
196201,-2.33,-2.28
196202,1.49,1.57
196203,1.35,1.39
196204,-0.76,-0.69
196205,-0.77,-0.78
196206,-0.99,-1.08
196207,-1.12,-1.3
196208,-1.05,-1.19
196209,-1.11,-1.28
196210,1.68,1.64
196211,-0.45,-0.42
196212,-1.03,-0.88
