#  California Precipitation
# Units: Inches
# Base Period: 1901-2000
Date,Value,Anomaly
195001,5.39,1.14
195002,2.71,-1.14
195003,2.85,-0.36
195004,1.34,-0.29
195005,0.63,-0.25
195006,0.34,-0.01
195007,0.24,0.06
195008,0.07,-0.17
195009,0.51,0.06
195010,3.41,2.21
195011,4.24,1.71
195012,4.21,0.6
195101,4.09,-0.16
195102,2.54,-1.31
195103,1.17,-2.04
195104,1.6,-0.03
195105,1.02,0.14
195106,0.07,-0.28
195107,0.15,-0.03
195108,0.35,0.11
195109,0.15,-0.3
195110,1.85,0.65
195111,3.37,0.84
195112,7.23,3.62
195201,7.44,3.19
195202,2.58,-1.27
195203,4.78,1.57
195204,1.5,-0.13
195205,0.46,-0.42
195206,0.68,0.33
195207,0.4,0.22
195208,0.05,-0.19
195209,0.45,0
195210,0.12,-1.08
195211,2.29,-0.24
195212,7.22,3.61
195301,4.52,0.27
195302,0.55,-3.3
195303,2.32,-0.89
195304,2.23,0.6
195305,1.63,0.75
195306,0.61,0.26
195307,0.1,-0.08
195308,0.31,0.07
195309,0.04,-0.41
195310,0.79,-0.41
195311,2.94,0.41
195312,1.15,-2.46
195401,5.93,1.68
195402,3.02,-0.83
195403,4.13,0.92
195404,1.67,0.04
195405,0.13,-0.75
195406,0.68,0.33
195407,0.24,0.06
195408,0.27,0.03
195409,0.22,-0.23
195410,0.29,-0.91
195411,2.75,0.22
195412,3.67,0.06
195501,3.61,-0.64
195502,1.5,-2.35
195503,0.7,-2.51
195504,2.42,0.79
195505,0.67,-0.21
195506,0.1,-0.25
195507,0.26,0.08
195508,0.35,0.11
195509,0.35,-0.1
195510,0.38,-0.82
195511,2.69,0.16
195512,10.68,7.07
195601,6.96,2.71
195602,3.17,-0.68
195603,0.41,-2.8
195604,1.83,0.2
195605,1.42,0.54
195606,0.2,-0.15
195607,0.3,0.12
195608,0.03,-0.21
195609,0.25,-0.2
195610,2.3,1.1
195611,0.11,-2.42
195612,0.87,-2.74
195701,3.92,-0.33
195702,3.64,-0.21
195703,3,-0.21
195704,1.71,0.08
195705,2.52,1.64
195706,0.14,-0.21
195707,0.1,-0.08
195708,0.12,-0.12
195709,0.9,0.45
195710,2.76,1.56
195711,1.73,-0.8
195712,4.01,0.4
195801,4.34,0.09
195802,8.22,4.37
195803,5.74,2.53
195804,3.96,2.33
195805,0.85,-0.03
195806,0.87,0.52
195807,0.32,0.14
195808,0.38,0.14
195809,0.57,0.12
195810,0.39,-0.81
195811,0.96,-1.57
195812,1.16,-2.45
195901,4.66,0.41
195902,5.05,1.2
195903,0.86,-2.35
195904,0.55,-1.08
195905,0.45,-0.43
195906,0.05,-0.3
195907,0.08,-0.1
195908,0.22,-0.02
195909,1.23,0.78
195910,0.21,-0.99
195911,0.14,-2.39
195912,1.71,-1.9
196001,3.68,-0.57
196002,5.14,1.29
196003,2.84,-0.37
196004,1.42,-0.21
196005,1.05,0.17
196006,0.02,-0.33
196007,0.14,-0.04
196008,0.02,-0.22
196009,0.26,-0.19
196010,0.55,-0.65
196011,4.52,1.99
196012,2.13,-1.48
196101,2.09,-2.16
196102,2.17,-1.68
196103,3.04,-0.17
196104,0.97,-0.66
196105,0.98,0.1
196106,0.24,-0.11
196107,0.08,-0.1
196108,0.59,0.35
196109,0.27,-0.18
196110,0.63,-0.57
196111,2.99,0.46
196112,2.48,-1.13
196201,2.03,-2.22
196202,7.92,4.07
196203,2.75,-0.46
196204,0.47,-1.16
196205,0.74,-0.14
196206,0.11,-0.24
196207,0.11,-0.07
196208,0.25,0.01
196209,0.3,-0.15
196210,3.94,2.74
196211,1.29,-1.24
196212,2.19,-1.42
196301,2.89,-1.36
196302,3.89,0.04
196303,3.51,0.3
196304,4.39,2.76
196305,1.11,0.23
196306,0.46,0.11
196307,0.02,-0.16
196308,0.3,0.06
196309,0.89,0.44
196310,1.99,0.79
196311,4.59,2.06
196312,0.7,-2.91
196401,3.58,-0.67
196402,0.31,-3.54
196403,2,-1.21
196404,0.74,-0.89
196405,1.03,0.15
196406,0.63,0.28
196407,0.17,-0.01
196408,0.14,-0.1
196409,0.14,-0.31
196410,1.07,-0.13
196411,3.99,1.46
196412,8.47,4.86
196501,3.83,-0.42
196502,0.78,-3.07
196503,1.46,-1.75
196504,3.94,2.31
196505,0.19,-0.69
196506,0.32,-0.03
196507,0.28,0.1
196508,0.65,0.41
196509,0.16,-0.29
196510,0.17,-1.03
196511,6.17,3.64
196512,4.03,0.42
196601,3.05,-1.2
196602,1.89,-1.96
196603,1.28,-1.93
196604,0.71,-0.92
196605,0.27,-0.61
196606,0.12,-0.23
196607,0.17,-0.01
196608,0.15,-0.09
196609,0.32,-0.13
196610,0.21,-0.99
196611,4.81,2.28
196612,5.74,2.13
196701,6.12,1.87
196702,0.4,-3.45
196703,4.23,1.02
196704,4.44,2.81
196705,0.59,-0.29
196706,0.66,0.31
196707,0.2,0.02
196708,0.33,0.09
196709,0.59,0.14
196710,0.74,-0.46
196711,2.63,0.1
